Block,School,School Location,Position,Location,Rating,Salary Low,Salary High,Date Applied,Date Responded,Interested
Finance,SUNY,"Albany, New York",Richmond American Homes,"Irvine, California",3.8,43000,64000,10/25/2019,,
Finance,UCLA,"Los Angeles, CA",X-Mode Social,"Reston, VA",4.9,NA,NA,10/25/2019,,
Finance,UCLA,"Los Angeles, CA",Golub & Company,"Chicago, IL",4.3,NA,NA,10/25/2019,,
Finance,UCLA,"Los Angeles, CA",Rakuten Marketing,"Salt Lake City, UT ",3.3,40000,60000,10/25/2019,,
Finance,UCOnn,"Mansfield, Connecticut",Recruithook,"New York, NY",NA,NA,NA,10/25/2019,,
Finance,UCOnn,"Mansfield, Connecticut",eClerx LLC,"Austin, TX",3.4,NA,NA,10/25/2019,,
Finance,UCOnn,"Mansfield, Connecticut",CarGurus,"Cambridge, MA",4.3,50000,75000,10/25/2019,10/30/2019,No
Finance,UMassAmherst,"Amherst, Massachusetts",Vestory,"Bellevue, WA",3,90000,150000,10/25/2019,,
Finance,UMassAmherst,"Amherst, Massachusetts",Stefanini,"Allen Park, MI",3.3,42000,63000,10/25/2019,,
Finance,UMassAmherst,"Amherst, Massachusetts",ARB Midstream,"Denver, CO",NA,62000,82000,10/25/2019,,
Finance,UMassBoston,"Boston, Massachusetts",KVH Industries,"Middletown, RI",NA,41000,62000,10/25/2019,,
Finance,UMassBoston,"Boston, Massachusetts",Professional Staffing Group,"Boston, MA",4.3,NA,60000,10/25/2019,,
Finance,UMassBoston,"Boston, Massachusetts",CoreSite,"Denver, CO",3.9,46000,69000,10/25/2019,,
Finance,UNH,"Durham, NH",endevis,"Madison, NJ",4.3,42000,65000,10/25/2019,,
Finance,UNH,"Durham, NH",Planet,"San Francisco, California",3.2,68000,100000,10/25/2019,11/14/2019,No
Finance,UNH,"Durham, NH",CAS,"Columbus, OH",2.9,44000,65000,10/25/2019,,
Finance,UPenn,"Philadelphia, PA",Miller Cooper,"Niles, IL",3.5,56000,84000,10/25/2019,,
Finance,UPenn,"Philadelphia, PA","Spinnaker Support, LLC","Englewood, CO",3.3,NA,NA,10/25/2019,,
Finance,UPenn,"Philadelphia, PA",Keating Consulting Group,"San Mateo, California",3.8,NA,NA,10/25/2019,,
Finance,URI,"South Kingstown, Rhode Island",DataVisor,"Mountain View, California",4.6,63000,94000,10/25/2019,,
Finance,URI,"South Kingstown, Rhode Island",Fulcrum Staffing,"Charleston, SC",3.7,NA,NA,10/25/2019,,
Finance,URI,"South Kingstown, Rhode Island",Gym Source,"Teterboro, NJ",NA,NA,NA,10/25/2019,,
Finance,Yale,"New Haven, CT",Arbor Financial Systems,California,3,NA,NA,10/25/2019,,
Finance,Yale,"New Haven, CT","The Concourse Group, LLC","Annapolis, MD",NA,NA,NA,10/25/2019,,
Finance,Yale,"New Haven, CT",Revive Staffing Solutions Inc,"Wichita, KA",NA,NA,NA,10/25/2019,,
ComputerScience,UMassBoston,"Boston, MA",Benefits Data Trust,"Philadelphia, PA",3,50000,69000,10/25/2019,,
ComputerScience,Penn State,"State College, PA",Flexware Innovation,"Fishers, IN",4.4,46000,81000,10/25/2019,10/31/2019,Yes
ComputerScience,SUNY,"Albany, NY",NextCapital,"Burlington, VT",4.3,61000,106000,10/31/2019,,
ComputerScience,Penn State,"State College, PA",Veneble LLP,"Baltimore, MD",3.2,56000,87000,10/25/2019,11/20/2019,Yes
ComputerScience,Princeton,"Princeton, NJ",Riverside Research Institute,"Beavercreek, OH",3.8,NA,NA,10/25/2019,,
ComputerScience,Brown,"Providence, RI",ASML,"Wilton, CT",3.6,60000,84000,10/25/2019,11/21/2019,Yes
ComputerScience,UNH,"Durham, NH",Extra Space,"Salt Lake City, UT",4.1,53000,94000,10/25/2019,10/28/2019,Yes
ComputerScience,Dartmouth,"Hanover, NH",Raytheon,"Tucson, AZ",3.8,53000,81000,10/25/2019,11/17/2019,No
ComputerScience,Penn State,"State College, PA",Adimo Partners,"Hoboken, NJ",4.3,NA,NA,10/25/2019,,
ComputerScience,Columbia,"New York, NY	",Torc Robotics,"Blacksburg, VA",4.3,46000,82000,10/25/2019,10/30/2019,No
ComputerScience,UCLA,"Los Angeles, CA",Samsung Strategy and Innovation Center,"San Jose, California",3.9,NA,NA,10/25/2019,,
ComputerScience,UCOnn,"Mansfield, Connecticut",N-Ask,Aurora-CO,4.2,NA,NA,10/25/2019,,
ComputerScience,Harvard,"Boston, MA",GoTab,"Arlington, VA",5,NA,NA,10/25/2019,,
ComputerScience,Rutgers,"New Brunswick, New Jersey",Azara Healthcare,"Burlington, MA",4,NA,NA,10/25/2019,,
ComputerScience,UPenn,"Philadelphia, PA",RedMane Technology,"Chicago, IL",3.5,51000,79000,10/25/2019,,
ComputerScience,Yale,"New Haven, CT",Blackbaud,"Austin, TX",3.7,57000,96000,10/25/2019,10/29/2019,No
ComputerScience,URI,"Durham, NH",Paramount Software Solutions,"Alpharetta, GA",4.1,43000,67000,10/25/2019,,
ComputerScience,Brown,"Providence, RI",Neopost USA,"Brookfield, WI",3.3,62000,94000,10/25/2019,,
ComputerScience,Yale,"New Haven, CT","Tower Hill Insurance Group, LLC","Gainesville, FL",3.1,42000,74000,10/25/2019,,
ComputerScience,UPenn,"Philadelphia, PA	",Insurance Office of America,"Longwood, FL",3.4,40000,63000,10/25/2019,,
ComputerScience,Rutgers,"New Brunswick, New Jersey",NU Skin,"Provo, UT",3.7,62000,107000,10/25/2019,,
ComputerScience,UCOnn,"Mansfield, Connecticut",ENSCO,"Endicott, NY",4,41000,72000,10/25/2019,10/28/2019,Yes
ComputerScience,Stanford,"Stanford, California",BioHorizon Implant Systems,"Birmingham, AL",4.2,62000,106000,10/31/2019,,
ComputerScience,Cornell,"Ithica, NY",General Dynamics Mission Systems,"Pittsburgh, PA",3.6,61000,101000,10/25/2019,10/28/2019,No
ComputerScience,Yale,"New Havem, CT",Xpressdocs,"Fort Worth, TX",3.4,51000,86000,10/25/2019,11/01/2019,Yes
ComputerScience,Dartmouth,"Hanover, NH",Revature,"Phoenix, AZ",3.7,37000,64000,10/25/2019,,
ComputerScience,SUNY,"Albany, NY",X by 2,"Farmington Hills, MI",4.7,80000,88000,10/25/2019,10/28/2019,Yes
ComputerScience,UCLA,"Los Angeles, CA",Apple Leisure Group,"Milwaukee, WI",3.1,56000,98000,10/25/2019,10/28/2019,No
ComputerScience,Rutgers,"New Brunswick, New Jersey",eResearchTechnology,"Pittsburgh, PA",2.5,57000,82000,10/25/2019,,
ComputerScience,URI,"South Kingstown, Rhode Island",Marketing 360,"Fort Collins, CO",4.9,50000,70000,10/25/2019,,
ComputerScience,UMassBoston,"Boston, MA",Edupoint,"Mesa, AZ",3.1,51000,79000,10/25/2019,,
ComputerScience,Princeton,"Princeton, NJ",Customer Value Partners,"Washington, DC",4,47000,73000,10/25/2019,,
ComputerScience,UMassAmherst,"Amherst, MA",AINS,"Gaithersburg, MD",2.9,41000,64000,10/25/2019,10/28/2019,Yes
ComputerScience,Brown,"Providence, RI",Great Healthworks,"Fort Lauderdale, FL",3.8,44000,72000,10/25/2019,,
ComputerScience,Cornell,"Ithica, NY","Green Street Advisors, LLC","Newport Beach, CA",4,60000,93000,10/25/2019,,
ComputerScience,CUNY,"New York, NY",Buildertrend,"Omaha, NE",4.2,38000,66000,10/25/2019,,
ComputerScience,Dartmouth,"Hanover, NH",Enclara Pharmacia,"Charleston, SC",2.9,46000,81000,10/25/2019,10/29/2019,Yes
ComputerScience,Cornell,"Ithica, NY",Triology Ed,"Baltimore, MD",4.4,39000,67000,10/25/2019,,
ComputerScience,Princeton,"Princeton, NJ",DataServ,"Saint Louis, MO",4.2,55000,89000,10/25/2019,,
ComputerScience,UPenn,"Philadelphia, PA",Real-Time Innovations,"Sunnyvale, California",4.9,110000,125000,10/25/2019,,
ComputerScience,UCOnn,"Mansfield, Connecticut",FAST,"Iselin, NJ",4.2,53000,91000,10/25/2019,,
ComputerScience,MIT,"Boston, MA",Asana,"San Francisco, California",4.8,124000,204000,10/25/2019,,
ComputerScience,CUNY,"New York, NY",Flashpoint,"New York, NY",3.7,61000,107000,10/26/2019,10/31/2019,No
ComputerScience,UNH,"Durham, NH",Daon Inc,"Reston, VA",3.4,46000,63000,10/26/2019,,
ComputerScience,MIT,"Boston, MA",Silicon Valley Bank,"Santa Clara, California",3.5,105000,174000,10/26/2019,,
ComputerScience,Harvard,"Boston, MA",Nova Biomedical,"Waltham, MA",3,54000,95000,10/26/2019,,
ComputerScience,URI,"South Kingstown, Rhode Island",MongoDB,"New York, NY",4.6,98000,163000,10/26/2019,,
ComputerScience,UCLA,"Los Angeles, CA",RFA Engineering,"Des Moines, IA",4.1,45000,81000,10/26/2019,,
ComputerScience,CUNY,"New York, NY",Unity Technologies,"Bellevue, WA",3.8,113000,167000,10/26/2019,11/05/2019,No
ComputerScience,Stanford,"Stanford, California",Snap! Raise,"Seattle, WA",3.5,57000,106000,10/26/2019,,
ComputerScience,UMassAmherst,"Amherst, MA","Tickernetwork, inc","South Windsor, CT",3.4,46000,81000,10/26/2019,10/31/2019,Yes
ComputerScience,UMassAmherst,"Amherst, MA",HomeAdvisor & Angie's List,"Indianapolis, IN",3.1,51000,88000,10/26/2019,,
ComputerScience,UMassBoston,"Boston, MA",Prospect Infosys,"Forth Worth, TX",3.6,53000,92000,10/26/2019,,
ComputerScience,UNH,"Durham, NH",Toast,"Boston, MA",4.2,44000,70000,10/26/2019,11/13/2019,No
ComputerScience,Columbia,"New York, NY",G2 OPS INC,"Arlington, VA",4.5,47000,89000,10/26/2019,11/12/2019,No
ComputerScience,MIT,"Cambridge, MA",Micross Components,"Milpitas, California",2.2,78000,113000,10/26/2019,,
ComputerScience,Harvard,"Cambridge, MA",2U,"Lanham, MD",3.8,54000,108000,10/26/2019,11/05/2019,No
ComputerScience,Stanford,"Stanford, California",BTI360,"Ashburn, VA",4.9,NA,NA,10/26/2019,,
ComputerScience,SUNY,"Albany, NY",Apex Systems,"Charlotte, NC",3.8,NA,NA,10/26/2019,,
ComputerScience,Columbia,"New York, NY",Illumio,"Sunnyvale, California",2.9,114000,189000,10/26/2019,,
